TIME STAMP:30
SYSTEM TIME: Thu Oct 18 21:27:22 2018
TIME STAMP:1330
SYSTEM TIME: Thu Oct 18 21:30:48 2018
,Iteration Computation Time,4
,Number of vehicles available,1000
,Number of pending requests,400

,Average Computation Time,6
,Maximum Computation Time,10
,Service Rate,30.1998
,Service Rate After Re-Balancing,63.8575
,Average Waiting Time,464.343
,Average Total Travel Delay,57.9676
,Average In Car Travel Delay,-304.203
,Occupancy (Passengers/Vehicle),1.65147
,Unassigned Requests Found,226
,Unassigned Vehicles Found,193
,ILP Solve Time,0
,Rebalance Time,2

TIME STAMP:1400
SYSTEM TIME: Thu Oct 18 21:30:55 2018
,Iteration Computation Time,5
,Number of vehicles available,1000
,Number of pending requests,531

,Average Computation Time,5.96429
,Maximum Computation Time,10
,Service Rate,30.4742
,Service Rate After Re-Balancing,64.15
,Average Waiting Time,459.908
,Average Total Travel Delay,58.656
,Average In Car Travel Delay,-314.81
,Occupancy (Passengers/Vehicle),1.65159
,Unassigned Requests Found,359
,Unassigned Vehicles Found,185
,ILP Solve Time,1
,Rebalance Time,2

TIME STAMP:1430
SYSTEM TIME: Thu Oct 18 21:31:01 2018
,Iteration Computation Time,5
,Number of vehicles available,1000
,Number of pending requests,399

,Average Computation Time,5.93103
,Maximum Computation Time,10
,Service Rate,29.4032
,Service Rate After Re-Balancing,62.7635
,Average Waiting Time,460.821
,Average Total Travel Delay,60.8488
,Average In Car Travel Delay,-322.609
,Occupancy (Passengers/Vehicle),1.65122
,Unassigned Requests Found,231
,Unassigned Vehicles Found,181
,ILP Solve Time,0
,Rebalance Time,3

TIME STAMP:1500
SYSTEM TIME: Thu Oct 18 21:31:08 2018
,Iteration Computation Time,6
,Number of vehicles available,1000
,Number of pending requests,513

,Average Computation Time,5.93333
,Maximum Computation Time,10
,Service Rate,29.5541
,Service Rate After Re-Balancing,62.8185
,Average Waiting Time,458.607
,Average Total Travel Delay,62.0877
,Average In Car Travel Delay,-327.751
,Occupancy (Passengers/Vehicle),1.65107
,Unassigned Requests Found,345
,Unassigned Vehicles Found,169
,ILP Solve Time,0
,Rebalance Time,3

TIME STAMP:1530
SYSTEM TIME: Thu Oct 18 21:31:14 2018
,Iteration Computation Time,4
,Number of vehicles available,1000
,Number of pending requests,331

,Average Computation Time,5.87097
,Maximum Computation Time,10
,Service Rate,28.743
,Service Rate After Re-Balancing,61.3011
,Average Waiting Time,460.759
,Average Total Travel Delay,63.6203
,Average In Car Travel Delay,-335.083
,Occupancy (Passengers/Vehicle),1.6506
,Unassigned Requests Found,186
,Unassigned Vehicles Found,167
,ILP Solve Time,0
,Rebalance Time,2

TIME STAMP:1600
SYSTEM TIME: Thu Oct 18 21:31:21 2018
,Iteration Computation Time,5
,Number of vehicles available,1000
,Number of pending requests,528

,Average Computation Time,5.84375
,Maximum Computation Time,10
,Service Rate,28.8796
,Service Rate After Re-Balancing,61.9832
,Average Waiting Time,458.691
,Average Total Travel Delay,64.3517
,Average In Car Travel Delay,-348.79
,Occupancy (Passengers/Vehicle),1.64908
,Unassigned Requests Found,367
,Unassigned Vehicles Found,162
,ILP Solve Time,0
,Rebalance Time,2

TIME STAMP:1630
SYSTEM TIME: Thu Oct 18 21:31:27 2018
,Iteration Computation Time,4
,Number of vehicles available,1000
,Number of pending requests,345

,Average Computation Time,5.78788
,Maximum Computation Time,10
,Service Rate,27.9708
,Service Rate After Re-Balancing,60.5749
,Average Waiting Time,459.383
,Average Total Travel Delay,65.4174
,Average In Car Travel Delay,-360.95
,Occupancy (Passengers/Vehicle),1.64693
,Unassigned Requests Found,191
,Unassigned Vehicles Found,157
,ILP Solve Time,0
,Rebalance Time,2

TIME STAMP:1700
